Disfluent Sentence,Fluent Sentence
I seen um IN I IN it um they had animation and um computer work,I seen it they had animation and computer work
Um it was quite FU FUNNY,it was quite FUNNY
Um it was about this um girl WHO WHO was a PRI PRINCESS but then got SPLIT up with her FA FAMILY,it was about this girl WHO was a PRINCESS but then got SPLIT up with her FAMILY
And she was trying to um get BACK to them,she was trying to get BACK to them
Um someone had um u u um she didn't quite make it to um the train,she didn't quite make it to the train
And she um FE FELL OFF the train,And she FELL OFF the train
Um and she went to an ORPHANAGE,she went to an ORPHANAGE
And she um had to MAKE UM MAKE do with her OWN OWN life,she had to MAKE do with her OWN life
Erm for Christmas I got that bear AND AND also got a small cat bear that’s um black and white,for Christmas I got that bear AND also got a small cat bear that’s black and white
Er I didn't get that many books this year but um but I did get a few computer games and a computer CONSOLE which was a PLAY PLAYSTATION two,I didn't get that many books this year but I did get a few computer games and a computer CONSOLE which was a PLAYSTATION two
Um and that's quite good to play on,that's quite good to play on
Erm I got a marbling kit so you can do your ouwn marbling things,I got a marbling kit so you can do your ouwn marbling things
Um and I got other small bits and pieces,I got other small bits and pieces
For my cats I bought them THISSSSSS THIS thing that L LOOKS like a slice of cheese,For my cats I bought them THIS thing that LOOKS like a slice of cheese
AND UM AND they're meant to put their paws in and um play with that,they're meant to put their paws in and play with that
Um we went out for a meal on Christmas Day to this pub place which was quite good AND AND food tasted nice,we went out for a meal on Christmas Day to this pub place which was quite good AND food tasted nice
Um Um Then we came back from that and we had a SMALL tea,Then we came back from that and we had a SMALL tea
and on Boxing Day WE MY MUM cooked A A meal,on Boxing Day MY MUM cooked A meal
I've supported Aston VILLA VILLA for eight years,I've supported Aston VILLA for eight years
Um. AT THE AT THE moment at school I'm doing my GCSEs,at school I'm doing my GCSEs
SAME SAME day as I had on Friday,SAME day as I had on Friday
Um I started fencing a couple of years ago,I started fencing a couple of years ago
There are three WWWW WEAPONS foil epee and sabre,There are three WEAPONS foil epee and sabre
I started off on foil um and that was ok um but I didn’t feel it WUZSSSSSSSSS um as interesting as some of the others,I started off on foil and that was ok but I didn’t feel it as interesting as some of the others
And I IN epee you've got to hit your opponent with the end of the swords absolutely anywhere basically,IN epee you've got to hit your opponent with the end of the swords absolutely anywhere
Um and I ITS all done with um C COMPUTERS and um YOU all wired up to stuff,ITS all done with COMPUTERS and YOU all wired up to stuff
And um THERE’S a metal foil often which means that light doesn't come up if you hit the floor,THERE’S a metal foil often which means that light doesn't come up if you hit the floor
